Smiles,Dataset,Model,canonical smiles,ring_systems,min_ring,min_freq,rare_ring
CC(C)(C)C1CCC(NC(=O)c2csc(N3CCN(c4ccncc4)CC3)n2)CC1,aryl,claude_scaffold,CC(C)(C)C1CCC(NC(=O)c2csc(N3CCN(c4ccncc4)CC3)n2)CC1,"[('c1cscn1', 61036), ('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1cscn1,61036,False
CC1(C)CCC(NC(=O)c2cnc(N3CCN(c4cncnc4)CC3)c(Br)c2)CC1,aryl,claude_scaffold,CC1(C)CCC(NC(=O)c2cnc(N3CCN(c4cncnc4)CC3)c(Br)c2)CC1,"[('C1CCCCC1', 77480), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
CC(C)(C)C1CCC(NC(=O)c2cnc(N3CCN(c4ccccn4)CC3)nc2)CC1,aryl,claude_scaffold,CC(C)(C)C1CCC(NC(=O)c2cnc(N3CCN(c4ccccn4)CC3)nc2)CC1,"[('C1CCCCC1', 77480), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
CC1(CF)CCC(NC(=O)c2ccc(N3CCN(c4ccncc4)CC3)cc2)CC1,aryl,claude_scaffold,CC1(CF)CCC(NC(=O)c2ccc(N3CCN(c4ccncc4)CC3)cc2)CC1,"[('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCCCC1,77480,False
CC(C)(C)C1CCC(NC(=O)c2cnc(N3CCN(c4ccccn4)CC3)s2)CC1,aryl,claude_scaffold,CC(C)(C)C1CCC(NC(=O)c2cnc(N3CCN(c4ccccn4)CC3)s2)CC1,"[('c1cscn1', 61036), ('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1cscn1,61036,False
CC1(CO)CCC(NC(=O)c2cnc(N3CCN(c4ccncc4F)CC3)c(I)c2)CC1,aryl,claude_scaffold,CC1(CO)CCC(NC(=O)c2cnc(N3CCN(c4ccncc4F)CC3)c(I)c2)CC1,"[('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
CC(C)(C)C1CCC(NC(=O)c2nnc(N3CCN(c4ccncc4)CC3)s2)CC1,aryl,claude_scaffold,CC(C)(C)C1CCC(NC(=O)c2nnc(N3CCN(c4ccncc4)CC3)s2)CC1,"[('c1nncs1', 14130), ('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1nncs1,14130,False
CC1(CN)CCC(NC(=O)c2cnc(N3CCN(c4cccnc4)CC3)o2)CC1,aryl,claude_scaffold,CC1(CN)CCC(NC(=O)c2cnc(N3CCN(c4cccnc4)CC3)o2)CC1,"[('c1cocn1', 15605), ('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1cocn1,15605,False
N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4)CC3)nc2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4)CC3)nc2)c1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4)CC3)nc2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4)CC3)nc2)c1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
N#Cc1cccc(CNC(=O)c2cnc(N3CCN(c4cncnc4)CC3)cc2F)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2cnc(N3CCN(c4cncnc4)CC3)cc2F)c1,"[('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4cccnc4)CC3)cc2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4cccnc4)CC3)cc2)c1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccccn4)CC3)nc2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccccn4)CC3)nc2)c1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4F)CC3)nc2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4F)CC3)nc2)c1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
N#Cc1cccc(CNC(=O)c2cnc(N3CCN(c4cccnc4)CC3)s2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2cnc(N3CCN(c4cccnc4)CC3)s2)c1,"[('c1cscn1', 61036), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cscn1,61036,False
N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4)CC3)o2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncc4)CC3)o2)c1,"[('c1ccoc1', 62191), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1ccoc1,62191,False
N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncn4)CC3)cc2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2ccc(N3CCN(c4ccncn4)CC3)cc2)c1,"[('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
N#Cc1cccc(CNC(=O)c2cnc(N3CCN(c4ccncc4)CC3)s2)c1,aryl,claude_scaffold,N#Cc1cccc(CNC(=O)c2cnc(N3CCN(c4ccncc4)CC3)s2)c1,"[('c1cscn1', 61036), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cscn1,61036,False
O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3cncnc3)CC2)c(F)c1,aryl,claude_scaffold,O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3cncnc3)CC2)c(F)c1,"[('C1CCCC1', 30433), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCCC1,30433,False
O=C(N[C@H]1CCC[C@H](O)C1)c1cnc(N2CCN(c3ccncc3)CC2)c(Br)c1,aryl,claude_scaffold,O=C(N[C@H]1CCC[C@H](O)C1)c1cnc(N2CCN(c3ccncc3)CC2)c(Br)c1,"[('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
O=C(N[C@H]1CC[C@@H](O)C1)c1ccc(N2CCN(c3ccncc3)CC2)cc1,aryl,claude_scaffold,O=C(N[C@H]1CC[C@@H](O)C1)c1ccc(N2CCN(c3ccncc3)CC2)cc1,"[('C1CCCC1', 30433), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCCC1,30433,False
O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3cccnc3)CC2)nc1,aryl,claude_scaffold,O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3cccnc3)CC2)nc1,"[('C1CCCC1', 30433), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCCC1,30433,False
O=C(N[C@H]1CCC[C@@H](O)C1)c1cnc(N2CCN(c3ccncc3)CC2)s1,aryl,claude_scaffold,O=C(N[C@H]1CCC[C@@H](O)C1)c1cnc(N2CCN(c3ccncc3)CC2)s1,"[('c1cscn1', 61036), ('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1cscn1,61036,False
O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3ccncc3)CC2)o1,aryl,claude_scaffold,O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3ccncc3)CC2)o1,"[('c1cocn1', 15605), ('C1CCCC1', 30433), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1cocn1,15605,False
O=C(N[C@H]1CC[C@@H](O)C1)c1ccc(N2CCN(c3ccncc3)CC2)cn1,aryl,claude_scaffold,O=C(N[C@H]1CC[C@@H](O)C1)c1ccc(N2CCN(c3ccncc3)CC2)cn1,"[('C1CCCC1', 30433), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCC1,30433,False
O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCc3cnccc3S(=O)(=O)CC2)c(Cl)c1,aryl,claude_scaffold,O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCc3cnccc3S(=O)(=O)CC2)c(Cl)c1,"[('O=S1(=O)CCNCCc2cnccc21', 0), ('C1CCCC1', 30433), ('c1ccncc1', 231698)]",O=S1(=O)CCNCCc2cnccc21,0,True
O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3ccncc3F)CC2)c(Cl)c1,aryl,claude_scaffold,O=C(N[C@H]1CC[C@@H](O)C1)c1cnc(N2CCN(c3ccncc3F)CC2)c(Cl)c1,"[('C1CCCC1', 30433), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCC1,30433,False
Cc1cc(N2CCN(c3ncc(C(=O)N[C@H]4CC[C@@H](O)C4)cc3Cl)CC2)ccn1,aryl,claude_scaffold,Cc1cc(N2CCN(c3ncc(C(=O)N[C@H]4CC[C@@H](O)C4)cc3Cl)CC2)ccn1,"[('C1CCCC1', 30433), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCC1,30433,False
CC1CCCC(NC(=O)c2cnc(N3CCN(c4ccncc4)CC3)c(F)c2)C1,aryl,claude_scaffold,CC1CCCC(NC(=O)c2cnc(N3CCN(c4ccncc4)CC3)c(F)c2)C1,"[('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
CC1CCCC(NC(=O)c2cc(Cl)nc(N3CCN(c4cncnc4)CC3)n2)C1,aryl,claude_scaffold,CC1CCCC(NC(=O)c2cc(Cl)nc(N3CCN(c4cncnc4)CC3)n2)C1,"[('C1CCCCC1', 77480), ('c1cncnc1', 81465), ('c1cncnc1', 81465), ('C1CNCCN1', 137326)]",C1CCCCC1,77480,False
CC1CCCC(NC(=O)c2ccnc(N3CCN(c4ccccn4)CC3)n2)C1,aryl,claude_scaffold,CC1CCCC(NC(=O)c2ccnc(N3CCN(c4ccccn4)CC3)n2)C1,"[('C1CCCCC1', 77480), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
O=C(NC1CCCCC1)c1cc(Cl)nnc1N1CCN(c2ccncc2)CC1,aryl,claude_scaffold,O=C(NC1CCCCC1)c1cc(Cl)nnc1N1CCN(c2ccncc2)CC1,"[('c1ccnnc1', 7303), ('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1ccnnc1,7303,False
O=C(NC1CCCC1)c1cnc(N2CCN(c3cccnc3)CC2)c(Br)c1,aryl,claude_scaffold,O=C(NC1CCCC1)c1cnc(N2CCN(c3cccnc3)CC2)c(Br)c1,"[('C1CCCC1', 30433), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCC1,30433,False
O=C(NC1CCC1)c1cc(Cl)nc(N2CCN(c3ccccn3)CC2)n1,aryl,claude_scaffold,O=C(NC1CCC1)c1cc(Cl)nc(N2CCN(c3ccccn3)CC2)n1,"[('C1CCC1', 12595), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCC1,12595,False
CC1CCC(NC(=O)c2ccnc(N3CCN(c4ccncc4)CC3)n2)CC1,aryl,claude_scaffold,CC1CCC(NC(=O)c2ccnc(N3CCN(c4ccncc4)CC3)n2)CC1,"[('C1CCCCC1', 77480), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
O=C(NC1CCCCCC1)c1cc(F)nnc1N1CCN(c2cncnc2)CC1,aryl,claude_scaffold,O=C(NC1CCCCCC1)c1cc(F)nnc1N1CCN(c2cncnc2)CC1,"[('C1CCCCCC1', 2594), ('c1ccnnc1', 7303), ('c1cncnc1', 81465), ('C1CNCCN1', 137326)]",C1CCCCCC1,2594,False
CC1CCC(NC(=O)c2cnc(N3CCN(c4ccnc(F)c4)CC3)c(Cl)c2)CC1,aryl,claude_scaffold,CC1CCC(NC(=O)c2cnc(N3CCN(c4ccnc(F)c4)CC3)c(Cl)c2)CC1,"[('C1CCCCC1', 77480), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCCCC1,77480,False
O=C(NC1CCOCC1)c1cc(Cl)nc(N2CCN(c3cccnc3)CC2)n1,aryl,claude_scaffold,O=C(NC1CCOCC1)c1cc(Cl)nc(N2CCN(c3cccnc3)CC2)n1,"[('C1CCOCC1', 64272), ('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCOCC1,64272,False
O=C(Nc1cccc(F)c1)c1cnc(OC2CCN(c3ccncc3)CC2)c(Br)c1,aryl,claude_scaffold,O=C(Nc1cccc(F)c1)c1cnc(OC2CCN(c3ccncc3)CC2)c(Br)c1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCNCC1,174309,False
O=C(Nc1cccc(Cl)c1)c1ccc(N2CCN(c3cccnc3)CC2)nc1,aryl,claude_scaffold,O=C(Nc1cccc(Cl)c1)c1ccc(N2CCN(c3cccnc3)CC2)nc1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
O=C(Nc1cccc(Cl)c1)c1cnc2c(c1)CCN(c1ccccn1)CC2,aryl,claude_scaffold,O=C(Nc1cccc(Cl)c1)c1cnc2c(c1)CCN(c1ccccn1)CC2,"[('c1cnc2c(c1)CCNCC2', 124), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cnc2c(c1)CCNCC2,124,False
CCN(CCOc1ccc(C(=O)Nc2cccc(Cl)c2)cc1)c1ccncc1,aryl,claude_scaffold,CCN(CCOc1ccc(C(=O)Nc2cccc(Cl)c2)cc1)c1ccncc1,"[('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
O=C(Nc1cccc(Cl)c1)c1ccc(OC2CCN(c3cccnc3)CC2)nc1,aryl,claude_scaffold,O=C(Nc1cccc(Cl)c1)c1ccc(OC2CCN(c3cccnc3)CC2)nc1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCNCC1,174309,False
O=C(Nc1cccc(Cl)c1)c1cnc2c(c1)CCN2CCc1cccnc1,aryl,claude_scaffold,O=C(Nc1cccc(Cl)c1)c1cnc2c(c1)CCN2CCc1cccnc1,"[('c1cnc2c(c1)CCN2', 142), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cnc2c(c1)CCN2,142,False
O=C(Nc1cccc(Cl)c1)c1ccc(OCCN2CCN(c3cccnc3)CC2)cc1,aryl,claude_scaffold,O=C(Nc1cccc(Cl)c1)c1ccc(OCCN2CCN(c3cccnc3)CC2)cc1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
CCN(CCS(=O)(=O)c1ccc(C(=O)Nc2cccc(Cl)c2)cc1)c1ccncc1,aryl,claude_scaffold,CCN(CCS(=O)(=O)c1ccc(C(=O)Nc2cccc(Cl)c2)cc1)c1ccncc1,"[('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
O=C(Nc1cccc(F)c1)c1cnc(OC2CCN(c3ccncc3)CC2)c(Br)c1,aryl,claude_scaffold,O=C(Nc1cccc(F)c1)c1cnc(OC2CCN(c3ccncc3)CC2)c(Br)c1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCNCC1,174309,False
O=C(CN(CCN1CCOc2c(Cl)ccnc21)c1cccnc1)Nc1cccc(Cl)c1,aryl,claude_scaffold,O=C(CN(CCN1CCOc2c(Cl)ccnc21)c1cccnc1)Nc1cccc(Cl)c1,"[('c1cnc2c(c1)OCCN2', 64), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cnc2c(c1)OCCN2,64,True
O=C(Nc1cccc(F)c1)c1csc(N2CCC(CNc3ccncc3Cl)CC2)n1,aryl,claude_scaffold,O=C(Nc1cccc(F)c1)c1csc(N2CCC(CNc3ccncc3Cl)CC2)n1,"[('c1cscn1', 61036), ('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cscn1,61036,False
CN(CC1CCC(Oc2ccc(C(=O)Nc3cccc(Cl)c3)nc2)CC1)c1ccncc1,aryl,claude_scaffold,CN(CC1CCC(Oc2ccc(C(=O)Nc3cccc(Cl)c3)nc2)CC1)c1ccncc1,"[('C1CCCCC1', 77480), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCCCC1,77480,False
CCN(CCN1CCOc2c(C(=O)Nc3cccc(F)c3)ccnc21)c1cc(C)ccn1,aryl,claude_scaffold,CCN(CCN1CCOc2c(C(=O)Nc3cccc(F)c3)ccnc21)c1cc(C)ccn1,"[('c1cnc2c(c1)OCCN2', 64), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cnc2c(c1)OCCN2,64,True
O=C(Nc1cccc(Cl)c1)c1cnc(SC2CCN(c3cccnc3)CC2)c(F)c1,aryl,claude_scaffold,O=C(Nc1cccc(Cl)c1)c1cnc(SC2CCN(c3cccnc3)CC2)c(F)c1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCNCC1,174309,False
O=C(Nc1cccc(Cl)c1)c1csc(N2CCC(CCNc3ccncc3)CC2)n1,aryl,claude_scaffold,O=C(Nc1cccc(Cl)c1)c1csc(N2CCC(CCNc3ccncc3)CC2)n1,"[('c1cscn1', 61036), ('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cscn1,61036,False
O=C(CN(CCN1CCc2cncnc2CC1)c1ccncc1Br)Nc1cccc(F)c1,aryl,claude_scaffold,O=C(CN(CCN1CCc2cncnc2CC1)c1ccncc1Br)Nc1cccc(F)c1,"[('c1ncc2c(n1)CCNCC2', 1209), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1ncc2c(n1)CCNCC2,1209,False
S=C(Nc1cccc(Cl)c1)c1cnc(NC2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold,S=C(Nc1cccc(Cl)c1)c1cnc(NC2CCN(c3ccncc3)CC2)c(Cl)c1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CCNCC1,174309,False
CCN(CCN1CCc2c(C(=O)Nc3cccc(Cl)c3)ncnc21)c1cnccc1C,aryl,claude_scaffold,CCN(CCN1CCc2c(C(=O)Nc3cccc(Cl)c3)ncnc21)c1cnccc1C,"[('c1ncc2c(n1)NCC2', 814), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1ncc2c(n1)NCC2,814,False
Cc1cc(NC(=O)c2cnc(N3CCN(c4ccncc4)CC3)c(F)c2)n(C)n1,aryl,claude_scaffold,Cc1cc(NC(=O)c2cnc(N3CCN(c4ccncc4)CC3)c(F)c2)n(C)n1,"[('c1cn[nH]c1', 85440), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cn[nH]c1,85440,False
Cn1nccc1NC(=O)c1cnc(N2CCN(c3cccnc3)CC2)c(Cl)c1,aryl,claude_scaffold,Cn1nccc1NC(=O)c1cnc(N2CCN(c3cccnc3)CC2)c(Cl)c1,"[('c1cn[nH]c1', 85440), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cn[nH]c1,85440,False
O=C(Nc1cn[nH]c1)c1cnc(N2CCOCC2)c(Br)c1,aryl,claude_scaffold,O=C(Nc1cn[nH]c1)c1cnc(N2CCOCC2)c(Br)c1,"[('C1COCCN1', 70960), ('c1cn[nH]c1', 85440), ('c1ccncc1', 231698)]",C1COCCN1,70960,False
Cc1nc(N2CCN(C3CCOCC3)CC2)c(Cl)cc1C(=O)Nc1ccccn1,aryl,claude_scaffold,Cc1nc(N2CCN(C3CCOCC3)CC2)c(Cl)cc1C(=O)Nc1ccccn1,"[('C1CCOCC1', 64272), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCOCC1,64272,False
Cc1cc(NS(=O)(=O)c2cnc(N3CCNCC3)c(Cl)c2)n(C)n1,aryl,claude_scaffold,Cc1cc(NS(=O)(=O)c2cnc(N3CCNCC3)c(Cl)c2)n(C)n1,"[('c1cn[nH]c1', 85440), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1cn[nH]c1,85440,False
Cc1nnc(NC(=O)c2cnc(N3CCN(c4ccccn4)CC3)c(Cl)c2)s1,aryl,claude_scaffold,Cc1nnc(NC(=O)c2cnc(N3CCN(c4ccccn4)CC3)c(Cl)c2)s1,"[('c1nncs1', 14130), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1nncs1,14130,False
O=C(Nc1ccon1)c1cnc(N2CCC(N3CCOCC3)CC2)c(Cl)c1,aryl,claude_scaffold,O=C(Nc1ccon1)c1cnc(N2CCC(N3CCOCC3)CC2)c(Cl)c1,"[('c1cnoc1', 28864), ('C1COCCN1', 70960), ('C1CCNCC1', 174309), ('c1ccncc1', 231698)]",c1cnoc1,28864,False
Cc1nc(N2CCN(CC3CC3)CC2)c(Cl)cc1C(=O)Nc1ccsc1,aryl,claude_scaffold,Cc1nc(N2CCN(CC3CC3)CC2)c(Cl)cc1C(=O)Nc1ccsc1,"[('c1ccsc1', 68146), ('C1CC1', 70914), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",c1ccsc1,68146,False
Cc1csc(NC(=O)c2cnc(N3CCN(CC4CCOC4)CC3)c(F)c2)n1,aryl,claude_scaffold,Cc1csc(NC(=O)c2cnc(N3CCN(CC4CCOC4)CC3)c(F)c2)n1,"[('C1CCOC1', 47269), ('c1cscn1', 61036), ('C1CNCCN1', 137326), ('c1ccncc1', 231698)]",C1CCOC1,47269,False
O=C(Nc1nc2ccccc2s1)c1cnc(N2CCCN(C3CCC3)CC2)c(Cl)c1,aryl,claude_scaffold,O=C(Nc1nc2ccccc2s1)c1cnc(N2CCCN(C3CCC3)CC2)c(Cl)c1,"[('C1CNCCNC1', 5114), ('C1CCC1', 12595), ('c1ccc2scnc2c1', 20513), ('c1ccncc1', 231698)]",C1CNCCNC1,5114,False
O=C(NCCc1cccnc1)c1cnc(N2CCN(c3cncnc3)CC2)c(F)c1,aryl,claude_scaffold,O=C(NCCc1cccnc1)c1cnc(N2CCN(c3cncnc3)CC2)c(F)c1,"[('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cncnc1,81465,False
O=C(NCCc1ccncc1)c1ccnc(N2CCN(c3ccccn3)CC2)c1Cl,aryl,claude_scaffold,O=C(NCCc1ccncc1)c1ccnc(N2CCN(c3ccccn3)CC2)c1Cl,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CNCCN1,137326,False
O=C(NCCc1cnccn1)c1ccc(N2CCN(c3ccncc3)CC2)c(Br)n1,aryl,claude_scaffold,O=C(NCCc1cnccn1)c1ccc(N2CCN(c3ccncc3)CC2)c(Br)n1,"[('c1cnccn1', 16094), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cnccn1,16094,False
O=C(NCCc1cncnc1)c1cc(F)nc(N2CCN(c3ccccn3)CC2)c1,aryl,claude_scaffold,O=C(NCCc1cncnc1)c1cc(F)nc(N2CCN(c3ccccn3)CC2)c1,"[('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cncnc1,81465,False
O=C(NCCc1cccnc1)c1cnc(N2CCC(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold,O=C(NCCc1cccnc1)c1cnc(N2CCC(c3ccncc3)CC2)c(Cl)c1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCNCC1,174309,False
O=C(NCCc1ccncc1)c1cnc(N2CCN(c3cncnc3)CC2)cc1F,aryl,claude_scaffold,O=C(NCCc1ccncc1)c1cnc(N2CCN(c3cncnc3)CC2)cc1F,"[('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cncnc1,81465,False
O=C(NCCc1ccccn1)c1ccc(N2CCN(c3cnccn3)CC2)nc1Cl,aryl,claude_scaffold,O=C(NCCc1ccccn1)c1ccc(N2CCN(c3cnccn3)CC2)nc1Cl,"[('c1cnccn1', 16094), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cnccn1,16094,False
O=C(NCCc1ccccn1)c1cc(Br)nc(N2CCC(c3ccncc3)CC2)c1,aryl,claude_scaffold,O=C(NCCc1ccccn1)c1cc(Br)nc(N2CCC(c3ccncc3)CC2)c1,"[('C1CCNCC1', 174309), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",C1CCNCC1,174309,False
O=C(NCCc1cnccn1)c1cnc(N2CCN(c3cccnc3)CC2)c(I)c1,aryl,claude_scaffold,O=C(NCCc1cnccn1)c1cnc(N2CCN(c3cccnc3)CC2)c(I)c1,"[('c1cnccn1', 16094), ('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698)]",c1cnccn1,16094,False
